feature,importance,horizon,model
n_risks_margin,0.0023277450887509233,63d,rf
n_risks_competition,0.0,63d,rf
n_risks_macro,0.019984542272708808,63d,rf
n_risks_regulatory,0.009994514942937712,63d,rf
n_risks_guidance,0.002239481621514648,63d,rf
n_risks_customer_concentration,0.003797178814677272,63d,rf
n_risks_supply_chain,0.002528669674558669,63d,rf
guidance_direction_ord,0.001065579859573057,63d,rf
has_margin_guidance,0.002755050902237833,63d,rf
has_eps_guidance,0.0009339631039542664,63d,rf
has_segment_specific_guidance,0.0035125163328396736,63d,rf
n_themes,0.0,63d,rf
lm_pos_ratio,0.08419569748585892,63d,rf
lm_neg_ratio,0.02661642189919017,63d,rf
lm_net,0.04810655453565562,63d,rf
lm_word_count,0.018697247976076064,63d,rf
d_overall_tone,0.006418638802219098,63d,rf
d_ceo_tone,0.004214241526511502,63d,rf
d_cfo_tone,0.016252485158476836,63d,rf
d_qa_tone,0.007996894339818636,63d,rf
d_tone_bucket_ord,0.0002600823101529409,63d,rf
d_n_wins,0.0,63d,rf
d_n_risks,0.0,63d,rf
d_n_themes,0.0,63d,rf
guidance_streak,0.014284534340529504,63d,rf
n_risks_persistent,0.00041789043620854934,63d,rf
risk_persistence_ratio,0.010283142968335357,63d,rf
n_new_themes,0.0033566810939507784,63d,rf
n_dropped_themes,0.0073625760392304175,63d,rf
n_persistent_themes,0.007527644894527333,63d,rf
d_lm_net,0.026379221732444783,63d,rf
pre_5d_ret,0.1577453936335601,63d,rf
pre_5d_excess,0.04148481117544059,63d,rf
pre_21d_ret,0.0687176064242418,63d,rf
pre_21d_excess,0.03820880477306431,63d,rf
pre_63d_ret,0.026237136626425538,63d,rf
pre_63d_excess,0.08158935369224064,63d,rf
overall_tone,0.0,63d,histgb
ceo_tone,0.0,63d,histgb
cfo_tone,0.0,63d,histgb
qa_tone,0.0,63d,histgb
tone_bucket_ord,0.0,63d,histgb
n_wins,0.0,63d,histgb
n_wins_revenue,0.0,63d,histgb
n_wins_margin,0.0,63d,histgb
n_wins_product,0.0,63d,histgb
n_wins_customer,0.0,63d,histgb
n_wins_capital_return,0.0,63d,histgb
n_wins_guidance,0.0,63d,histgb
n_wins_operations,0.0,63d,histgb
n_risks,0.0,63d,histgb
n_risks_demand,0.0,63d,histgb
n_risks_margin,0.0,63d,histgb
n_risks_competition,0.0,63d,histgb
n_risks_macro,0.0,63d,histgb
n_risks_regulatory,0.0,63d,histgb
n_risks_guidance,0.0,63d,histgb
n_risks_customer_concentration,0.0,63d,histgb
n_risks_supply_chain,0.0,63d,histgb
guidance_direction_ord,0.0,63d,histgb
has_margin_guidance,0.0,63d,histgb
has_eps_guidance,0.0,63d,histgb
has_segment_specific_guidance,0.0,63d,histgb
n_themes,0.0,63d,histgb
lm_pos_ratio,0.0,63d,histgb
lm_neg_ratio,0.0,63d,histgb
lm_net,0.0,63d,histgb
lm_word_count,0.0,63d,histgb
d_overall_tone,0.0,63d,histgb
d_ceo_tone,0.0,63d,histgb
d_cfo_tone,0.0,63d,histgb
d_qa_tone,0.0,63d,histgb
d_tone_bucket_ord,0.0,63d,histgb
d_n_wins,0.0,63d,histgb
d_n_risks,0.0,63d,histgb
d_n_themes,0.0,63d,histgb
guidance_streak,0.0,63d,histgb
n_risks_persistent,0.0,63d,histgb
risk_persistence_ratio,0.0,63d,histgb
n_new_themes,0.0,63d,histgb
n_dropped_themes,0.0,63d,histgb
n_persistent_themes,0.0,63d,histgb
d_lm_net,0.0,63d,histgb
pre_5d_ret,0.0,63d,histgb
pre_5d_excess,0.0,63d,histgb
pre_21d_ret,0.0,63d,histgb
pre_21d_excess,0.0,63d,histgb
pre_63d_ret,0.0,63d,histgb
pre_63d_excess,0.0,63d,histgb
overall_tone,0.0,63d,xgb
ceo_tone,0.007414256688207388,63d,xgb
cfo_tone,0.0,63d,xgb
qa_tone,0.012803242541849613,63d,xgb
tone_bucket_ord,0.0,63d,xgb
n_wins,0.0,63d,xgb
n_wins_revenue,0.05963074415922165,63d,xgb
n_wins_margin,0.0,63d,xgb
n_wins_product,0.07829109579324722,63d,xgb
n_wins_customer,0.05356144905090332,63d,xgb
n_wins_capital_return,0.014121373184025288,63d,xgb
n_wins_guidance,0.0,63d,xgb
n_wins_operations,0.0,63d,xgb
n_risks,0.005164718255400658,63d,xgb
n_risks_demand,0.0,63d,xgb
n_risks_margin,0.009791471995413303,63d,xgb
n_risks_competition,0.0,63d,xgb
n_risks_macro,0.027463845908641815,63d,xgb
n_risks_regulatory,0.015087012201547623,63d,xgb
n_risks_guidance,0.0,63d,xgb
n_risks_customer_concentration,0.013034715317189693,63d,xgb
n_risks_supply_chain,0.0064613427966833115,63d,xgb
guidance_direction_ord,0.0,63d,xgb
has_margin_guidance,0.0,63d,xgb
has_eps_guidance,0.005012888927012682,63d,xgb
has_segment_specific_guidance,0.0,63d,xgb
n_themes,0.0,63d,xgb
lm_pos_ratio,0.024013176560401917,63d,xgb
lm_neg_ratio,0.08353588730096817,63d,xgb
lm_net,0.04939179867506027,63d,xgb
lm_word_count,0.026229023933410645,63d,xgb
d_overall_tone,0.014951528050005436,63d,xgb
d_ceo_tone,0.05477446690201759,63d,xgb
d_cfo_tone,0.022285617887973785,63d,xgb
d_qa_tone,0.02113879844546318,63d,xgb
d_tone_bucket_ord,0.0,63d,xgb
d_n_wins,0.0,63d,xgb
d_n_risks,0.015854360535740852,63d,xgb
d_n_themes,0.0,63d,xgb
guidance_streak,0.0,63d,xgb
n_risks_persistent,0.007855545729398727,63d,xgb
risk_persistence_ratio,0.02343856729567051,63d,xgb
n_new_themes,0.010511554777622223,63d,xgb
n_dropped_themes,0.0305433738976717,63d,xgb
n_persistent_themes,0.03295630216598511,63d,xgb
d_lm_net,0.01960327848792076,63d,xgb
pre_5d_ret,0.07475351542234421,63d,xgb
pre_5d_excess,0.01571231335401535,63d,xgb
pre_21d_ret,0.06069064140319824,63d,xgb
pre_21d_excess,0.06758076697587967,63d,xgb
pre_63d_ret,0.02291860803961754,63d,xgb
pre_63d_excess,0.013422730378806591,63d,xgb
overall_tone,1.0,63d,lgbm
ceo_tone,2.0,63d,lgbm
cfo_tone,0.0,63d,lgbm
qa_tone,1.0,63d,lgbm
tone_bucket_ord,0.0,63d,lgbm
n_wins,0.0,63d,lgbm
n_wins_revenue,0.0,63d,lgbm
n_wins_margin,3.0,63d,lgbm
n_wins_product,16.0,63d,lgbm
n_wins_customer,2.0,63d,lgbm
n_wins_capital_return,6.0,63d,lgbm
n_wins_guidance,0.0,63d,lgbm
n_wins_operations,0.0,63d,lgbm
n_risks,1.0,63d,lgbm
n_risks_demand,0.0,63d,lgbm
n_risks_margin,0.0,63d,lgbm
n_risks_competition,0.0,63d,lgbm
n_risks_macro,5.0,63d,lgbm
n_risks_regulatory,1.0,63d,lgbm
n_risks_guidance,0.0,63d,lgbm
n_risks_customer_concentration,0.0,63d,lgbm
n_risks_supply_chain,2.0,63d,lgbm
guidance_direction_ord,0.0,63d,lgbm
has_margin_guidance,0.0,63d,lgbm
has_eps_guidance,0.0,63d,lgbm
has_segment_specific_guidance,0.0,63d,lgbm
n_themes,0.0,63d,lgbm
lm_pos_ratio,15.0,63d,lgbm
lm_neg_ratio,1.0,63d,lgbm
lm_net,7.0,63d,lgbm
lm_word_count,11.0,63d,lgbm
d_overall_tone,0.0,63d,lgbm
d_ceo_tone,2.0,63d,lgbm
d_cfo_tone,6.0,63d,lgbm
d_qa_tone,6.0,63d,lgbm
d_tone_bucket_ord,0.0,63d,lgbm
d_n_wins,0.0,63d,lgbm
d_n_risks,2.0,63d,lgbm
d_n_themes,0.0,63d,lgbm
guidance_streak,0.0,63d,lgbm
n_risks_persistent,1.0,63d,lgbm
risk_persistence_ratio,14.0,63d,lgbm
n_new_themes,4.0,63d,lgbm
n_dropped_themes,4.0,63d,lgbm
n_persistent_themes,1.0,63d,lgbm
d_lm_net,11.0,63d,lgbm
pre_5d_ret,15.0,63d,lgbm
pre_5d_excess,15.0,63d,lgbm
pre_21d_ret,13.0,63d,lgbm
pre_21d_excess,13.0,63d,lgbm
pre_63d_ret,1.0,63d,lgbm
pre_63d_excess,11.0,63d,lgbm
